,Ticker,Company Name
0,A,Agilent Technologies
1,AA,Alcoa Corp
2,AAC,Aac Holdings Inc
3,AAN,Aaron's Inc
4,AAP,Advance Auto Parts Inc
5,AAT,American Assets Trust
6,AB,Alliancebernstein Holding LP
7,ABB,Abb Ltd
8,ABBV,Abbvie Inc
9,ABC,Amerisourcebergen Corp
10,ABEV,Ambev S.A.
11,ABG,Asbury Automotive Group Inc
12,ABM,ABM Industries Incorporated
13,ABR,Arbor Realty Trust
14,ABR-A,Arbor Rlty TR Inc [Abr/Pa]
15,ABR-B,Arbor Rlty TR Inc [Abr/Pb]
16,ABR-C,Arbor Rlty TR Inc [Abr/Pc]
17,ABT,Abbott Laboratories
18,AC,Associated Capital Group Inc
19,ACA,Arcosa Inc
20,ACB,Aurora Cannabis Inc
21,ACC,American Campus Communities Inc
22,ACCO,Acco Brands Corp
23,ACH,Aluminum Corp of China Ltd
24,ACM,Aecom Technology Corp
25,ACN,Accenture Plc
26,ACP,Avenue Income Credit Strategies
27,ACP.P,Avenue Income Credit Strategies
28,ACRE,Ares Commercial Real Estate Cor
29,ACV,Allianzgi Diversified Income &
30,ADC,Agree Realty Corp
31,ADM,Archer Daniels Midland
32,ADNT,Adient Plc
33,ADS,Alliance Data Systems Corp
34,ADSW,Advanced Disposal Services Inc
35,ADT,ADT Inc
36,ADX,Adams Express Company
37,AEB,Aegon N.V. Perp Cap Secs Floating Rate
38,AEE,Ameren Corp
39,AEG,Aegon N.V.
40,AEH,Aegon N.V. Perp Cap Secs
41,AEL,American Equity Investment Life
42,AEM,Agnico-Eagle Mines Ltd
43,AEO,American Eagle Outfitters
44,AEP,American Electric Power Company
45,AEP-B,American Elec Pwr Co. Inc [Aep/Pb]
46,AER,Aercap Holdings N.V.
47,AES,The Aes Corp
48,AFB,Alliance National Municipal
49,AFC,Allied Capital Corp
50,AFG,American Financial Group
51,AFGB,American Financial Group Inc 5.875%
52,AFGE,American Financial Group Inc
53,AFGH,American Financial Group Inc
54,AFI,Armstrong Flooring Inc
55,AFL,Aflac Incorporated
56,AFT,Apollo Senior Floating Rate Fund Inc
57,AG,First Majestic Silver
58,AGCO,Agco Corp
59,AGD,Alpine Global Dynamic Dividend Fund
60,AGI,Alamos Gold Inc
61,AGM,Federal Agricultural Mortgage Corp
62,AGM-A,Federal Agricultural Mortgage Corp
63,AGM-C,Federal Agricultural Mortgage Corp
64,AGM-D,Federal Agricultural Mortgage Corp
65,AGM.A,Federal Agricultural Mortgage Corp
66,AGN,Allergan Plc
67,AGO,Assured Guaranty Ltd
68,AGO-B,Assured Guaranty Municipal Hldgs IN
69,AGO-E,Assured Guaranty Municipal Hldgs IN
70,AGO-F,Assured Guaranty Municipal Hldgs IN
71,AGR,Avangrid Inc
72,AGRO,Adecoagro S.A.
73,AGS,Playags Inc
74,AGX,Argan Inc
75,AHC,A.H. Belo Corp
76,AHH,Armada Hoffler Properties Inc
77,AHH-A,Armada Hoffler Pptys Inc [Ahh/Pa]
78,AHL-C,Aspen Insurance Holdings Ltd [Ahl/Pc]
79,AHL-D,Aspen Insurance Holdings Ltd [Ahl/Pd]
80,AHL-E,Aspen Insurance Holdings Ltd [Ahl/Pe]
81,AHT,Ashford Hospitality Trust Inc
82,AHT-D,Ashford Hospitality TR Inc [Aht/Pd]
83,AHT-F,Ashford Hospitality TR Inc [Aht/Pf]
84,AHT-G,Ashford Hospitality TR Inc [Aht/Pg]
85,AHT-H,Ashford Hospitality TR Inc [Aht/Ph]
86,AHT-I,Ashford Hospitality TR Inc [Aht/Pi]
87,AI,Arlington Asset Investment Corp
88,AI-B,Arlington Asset Investment Corp [Ai/Pb]
89,AI-C,Arlington Asset Investment Corp [Ai/Pc]
90,AIC,Arlington Asset Investment Cor
91,AIF,Apollo Tactical Income Fund Inc
92,AIG,American International Group
93,AIG-A,American International Group Inc
94,AIG.W,American Intl Group Inc [Aig/W]
95,AIN,Albany International Corp
96,AIR,AAR Corp
97,AIT,Applied Industrial Technologies
98,AIV,Apartment Investment and Management
99,AIW,Arlington Asset Investment Cor
100,AIZ,Assurant Inc
101,AIZP,Assurant Inc 6.50% Series D Mandatory
102,AJG,Arthur J. Gallagher & Company
103,AJRD,Aerojet Rocketdyne Holdings
104,AJX,Great Ajax Corp
105,AJXA,Great Ajax Corp 7.25% Convertible Senior
106,AKO.A,Embotell Andina Sa Cl A
107,AKO.B,Embotell Andna Sa Cl B
108,AKR,Acadia Realty Trust
109,AKS,AK Steel Holding Corp
110,AL,Air Lease Corp Cl A
111,AL-A,Air Lease Corp [Al/Pa]
112,ALB,Albemarle Corp
113,ALC,Alcon Inc
114,ALE,Allete Inc
115,ALEX,Alexander and Baldwin Inc
116,ALG,Alamo Group
117,ALK,Alaska Air Group
118,ALL,Allstate Corp
119,ALL-A,Allstate Corp [All/Pa]
120,ALL-B,Allstate Corp [All/Pb]
121,ALL-D,Allstate Corp [All/Pd]
122,ALL-E,Allstate Corp [All/Pe]
123,ALL-F,Allstate Corp [All/Pf]
124,ALL-G,Allstate Corp [All/Pg]
125,ALL-H,Allstate Corp [All/Ph]
126,ALL-Y,GMAC Capital Trust I [Ally/Pa]
127,ALLE,Allegion Plc
128,ALLY,Ally Financial
129,ALP-Q,Alabama Power Co. [Alp/Pq]
130,ALSN,Allison Transmission Holdings
131,ALV,Autoliv Inc
132,ALX,Alexander's Inc
133,AM,Antero Midstream Corp
134,AMC,Amc Entertainment Holdings Inc
135,AMCR,Amcor Plc
136,AME,Amtek Inc
137,AMG,Affiliated Managers Group
138,AMH,American Homes 4 Rent
139,AMH-D,American Homes 4 Rent [Amh/Pd]
140,AMH-E,American Homes 4 Rent [Amh/Pe]
141,AMH-F,American Homes 4 Rent [Amh/Pf]
142,AMH-G,American Homes 4 Rent [Amh/Pg]
143,AMH-H,American Homes 4 Rent [Amh/Ph]
144,AMK,Assetmark Financial Holdings Inc
145,AMN,Amn Healthcare Services Inc
146,AMOV,America Movil A ADR
147,AMP,Ameriprise Financial Services
148,AMPY,Amplify Energy Corp
149,AMRC,Ameresco Inc
150,AMRX,Amneal Pharmaceuticals Inc
151,AMT,American Tower Corp
152,AMX,America Movil S.A.B. DE C.V.
153,AN,Autonation Inc
154,ANET,Arista Networks Inc
155,ANF,Abercrombie & Fitch Company
156,ANFI,Amira Nature Foods Ltd
157,ANH,Anworth Mortgage Asset Corp
158,ANH-A,Anworth Mortgage Asset Cp [Anh/Pa]
159,ANH-B,Anworth Mortgage Asset Cp [Anh/Pb]
160,ANH-C,Anworth Mortgage Asset Cp [Anh/Pc]
161,ANTM,Anthem Inc
162,AOD,Alpine Total Dynamic Dividend
163,AON,AON Plc
164,AOS,Smith [A.O.] Corp
165,AP,Ampco-Pittsburgh Corp
166,APA,Apache Corp
167,APAM,Artisan Partners Asset Mgmt
168,APD,Air Products and Chemicals
169,APH,Amphenol Corp
170,APHA,Aphria Inc
171,APLE,Apple Hospitality REIT Inc
172,APO,Apollo Global Management Llc C
173,APO-A,Apollo Global Mgmt Inc [Apo/Pa]
174,APO-B,Apollo Global Mgmt Inc [Apo/Pb]
175,APRN,Blue Apron Holdings Inc
176,APTS,Preferred Apartment Communities
177,APTV,Aptiv Plc
178,APY,Apergy Corp
179,AQN,Algonquin Pwr & Util
